,Unnamed: 0,filename,description,author,text
56,56,799774169.jpg,Берег реки,Исаак Ильич Левитан,рисунок вида пляжа с лодкой в воде
57,57,452056884.jpg,Березовая роща,Исаак Ильич Левитан,рисование грунтовой дороги на поле с деревьями и травой
58,58,518716430.jpg,Лунная ночь. 1899,Исаак Ильич Левитан,рисунок ландшафта с деревьями и холмом на заднем фоне
59,59,335162353.jpg,Весна. Последний снег1. 1895,Исаак Ильич Левитан,"рисунок ручья, протекающего по снежному лесу, наполненному снегом"
60,60,956411743.jpg,Деревня,Исаак Ильич Левитан,рисунок сельской деревни с грунтовой дорогой и грунтовой дорогой
61,61,720452880.jpg,На севере. 1896,Исаак Ильич Левитан,Картина с видом на озеро и деревья с небесным фоном
62,62,744540405.jpg,Озеро. Осень1. Конец 1890-х,Исаак Ильич Левитан,рисунок реки с лодками на ней и дом на заднем плане
63,63,944107055.jpg,В начале марта. 1900,Исаак Ильич Левитан,рисунок лошади на снеговом поле с деревьями и амбаром
64,64,635665893.jpg,Васильсурск. 1887,Исаак Ильич Левитан,Картина с видом на поле с домом и деревьями
65,65,179541015.jpg,Осень. 1890-е,Исаак Ильич Левитан,рисование реки с деревьями и травой на заднем фоне
66,66,643878173.jpg,Осень. Дорога в деревне. 1877,Исаак Ильич Левитан,рисунок грунтовой дороги на поле с амбаром на заднем фоне
67,67,993325805.jpg,Портрет писателя Антона Павловича Чехова. 1885-1886,Исаак Ильич Левитан,Картина человека с усами и синей рубашкой
68,68,913235473.jpg,Церковь в Плёсе. 1888,Исаак Ильич Левитан,покраска церкви на холме с забором и крестом
69,69,673129272.jpg,Заросший пруд,Исаак Ильич Левитан,рисунок реки с деревом и лодкой в воде
70,70,196542358.jpg,Облака. 1890-е,Исаак Ильич Левитан,рисунок неба с облаками и лодкой
71,71,624459838.jpg,Одуванчики. 1889,Исаак Ильич Левитан,Картина вазы с цветами на столе
72,72,597927856.jpg,Полустанок. 1880-е,Исаак Ильич Левитан,"рисунок поезда, пересекающего мост через реку"
73,73,867669677.jpg,Черемуха. Начало 1880-х,Исаак Ильич Левитан,рисунок дерева в ограждении в районе с домом
74,74,275753784.jpg,Деревня на берегу реки. 1883,Исаак Ильич Левитан,рисунок реки с небольшой деревней на заднем плане
75,75,757943725.jpg,Домик с ракитами. Первая половина 1880-х,Исаак Ильич Левитан,рисунок того дома на поле с деревьями
76,76,232659912.jpg,Лесная речка. 1886-1887,Исаак Ильич Левитан,покраска реки с небольшим домом вдали
77,77,992364501.jpg,Лесные фиалки и незабудки. 1889,Исаак Ильич Левитан,Картина вазы с голубыми цветами на столе
78,78,121917724.jpg,Солнечный день. Деревня. 1898,Исаак Ильич Левитан,рисунок сельской сцены с амбаром и деревьями на заднем плане
79,79,886126708.jpg,Тихая обитель3. 1890,Исаак Ильич Левитан,рисунок моста через реку с церковью на заднем плане
80,80,792028808.jpg,Вечер на Волге2. 1888,Исаак Ильич Левитан,рисунок картины лодки на озере с небесным фоном
81,81,176684570.jpg,Дорожка. 1890-е,Исаак Ильич Левитан,рисунок грунтовой дороги с амбаром на расстоянии
82,82,870471191.jpg,Дубовая роща. Осень. 1880,Исаак Ильич Левитан,Картина парка с деревьями и листьями на земле
83,83,685159301.jpg,Зима. 1895,Исаак Ильич Левитан,рисунок снежного ландшафта с человеком на сноуборде
84,84,986596679.jpg,Избушка на лугу. 1880-е,Исаак Ильич Левитан,Картина дома на поле с деревьями и травой
85,85,593121337.jpg,Сад в снегу. 1880-е,Исаак Ильич Левитан,рисунок снежного ландшафта с деревьями и синим небом
86,86,914746093.jpg,Близ Бордигеры. На севере Италии,Исаак Ильич Левитан,живопись деревни с деревом и зданием на заднем плане
87,87,295254516.jpg,Весна в Италии1. 1890,Исаак Ильич Левитан,рисунок горного ландшафта с несколькими деревьями и горой на заднем плане
88,88,873300170.jpg,Золотая осень. Слободка. 1889,Исаак Ильич Левитан,рисование сельского ландшафта с грунтовой дорогой и сельскохозяйственными зданиями
89,89,838446044.jpg,Крепость. Финляндия. 1896,Исаак Ильич Левитан,Картина замка на холме рядом с рекой
90,90,652392578.jpg,Лунный пейзаж. 1890-е,Исаак Ильич Левитан,рисунок поля с несколькими деревьями и синим небом
91,91,139413452.jpg,Осенний лес. 1899,Исаак Ильич Левитан,рисунок леса с деревьями и травой на переднем плане
92,92,249304199.jpg,Последние лучи солнца. Осиновый лес. 1897,Исаак Ильич Левитан,"рисунок леса с дорогой через него и человек, идущий вдалеке"
93,93,768161010.jpg,Сжатое поле. 1897,Исаак Ильич Левитан,рисунок ландшафта с грунтовой дорогой и амбаром
94,94,903210449.jpg,Венеция. Рива дельи Скьявони. 1890,Исаак Ильич Левитан,рисунок пары гондол в канале со зданиями на заднем плане
95,95,930786132.jpg,Весна в Крыму2. 1900,Исаак Ильич Левитан,"рисунок ручья, протекающего по лесу, наполненному камнями"
96,96,989370727.jpg,Весна. Журавли летят. 1880-е,Исаак Ильич Левитан,"Там два дерева в воде с птицами, летящими в небе."
97,97,912384033.jpg,Золотая осень. 1896,Исаак Ильич Левитан,рисунок реки с травяным берегом и деревьями на заднем плане
98,98,781838989.jpg,На озере. Удильщики. . Конец 1890-х,Исаак Ильич Левитан,рисунок пары людей в каноэ на озере
99,99,131118774.jpg,Озеро Комо. Италия. 1894,Исаак Ильич Левитан,рисунок вида бухты с лодкой в воде
100,100,691641235.jpg,Озеро. Вечер. 1890-е,Исаак Ильич Левитан,рисунок заката над водоемом с облаками
101,101,354855346.jpg,Поезд в пути. 1890-е,Исаак Ильич Левитан,"рисунок поезда, путешествующего по дорожке через зеленое поле"
102,102,143972778.jpg,Разлив на Суре. 1887,Исаак Ильич Левитан,рисунок реки с несколькими деревьями и несколькими птицами
103,103,718475341.jpg,Сумерки. Замок. 1898,Исаак Ильич Левитан,Картина замка с часовой башней наверху.
104,104,769204711.jpg,Абрамцево. 1880-е,Исаак Ильич Левитан,рисунок лодки на реке с лесами на заднем плане
105,105,576422119.jpg,В парке. 1880,Исаак Ильич Левитан,рисунок реки с беременным деревом и прудом
106,106,864923095.jpg,Вечер над болотом. 1882,Исаак Ильич Левитан,живопись пейзажа с закатом и далёким горизонтом
107,107,542337036.jpg,Вид на Нижний Новгород. Начало 1890-х,Исаак Ильич Левитан,живопись лодок в гавани с городом на заднем плане
108,108,384985351.jpg,Волга с высокого берега. 1887,Исаак Ильич Левитан,"рисунок дерева с птицей, нарисованной на ветке"
109,109,251309204.jpg,Дорога. 1898,Исаак Ильич Левитан,"рисунок грунтовой дороги, протекающей через зеленое поле"
110,110,120187377.jpg,Зимой в Крыму,Исаак Ильич Левитан,рисунок снежного ландшафта с домом и деревьями
111,111,787716674.jpg,Колеус. 1894,Исаак Ильич Левитан,рисунок кучки фиолетовых цветов на белой поверхности
112,112,209478759.jpg,Лес. Солнечный день. . 1883-1884,Исаак Ильич Левитан,рисунок деревянных участков с деревьями и потоком
113,113,771813964.jpg,Лесное озеро. Заход солнца. 1890-е,Исаак Ильич Левитан,рисунок реки с несколькими деревьями и кустами
114,114,241613769.jpg,Луг на опушке леса. 1898,Исаак Ильич Левитан,рисунок поля с белыми цветами и деревьями на заднем фоне
115,115,371554565.jpg,Над вечным покоем. 1893-1894,Исаак Ильич Левитан,Картина с видом на озеро с небесным фоном
116,116,509844970.jpg,Ночь. Берег реки. Конец 1890-х,Исаак Ильич Левитан,рисунок озера с лодкой в нём и неба на заднем плане
117,117,697216796.jpg,Озеро Комо3. 1894,Исаак Ильич Левитан,рисунок горной сцены с озером и деревней
118,118,778488159.jpg,Осеннее утро. Туман. 1887,Исаак Ильич Левитан,рисунок озера с лесами на заднем плане
119,119,550054931.jpg,Осенний солнечный день. 1897-1898,Исаак Ильич Левитан,рисунок грунтовой дороги в лесу с деревьями и камнями
120,120,266497802.jpg,Пейзаж с папоротником. 1890-е,Исаак Ильич Левитан,покраска леса с большим количеством деревьев и травы
121,121,983108520.jpg,Плёс. 1889,Исаак Ильич Левитан,рисунок вида озера с домом и деревьями
122,122,661291503.jpg,Ранняя весна. 1890-е,Исаак Ильич Левитан,рисунок болота с несколькими деревьями на заднем плане
123,123,111892700.jpg,Речная заводь . Конец XIX века,Исаак Ильич Левитан,рисунок болота с деревьями и водой на заднем фоне
124,124,854788208.jpg,Солнечный день. Весна. 1876-1877,Исаак Ильич Левитан,рисунок куриной курицы в поле с цыплятами.
125,125,760827636.jpg,Тишина. 1898,Исаак Ильич Левитан,рисунок реки с холмом на заднем плане
126,126,759811401.jpg,Цветущие яблони1. 1896,Исаак Ильич Левитан,"живопись поля с деревьями, травой и домом вдалеке"
127,127,805075073.jpg,Берег Средиземного моря. 1890,Исаак Ильич Левитан,"рисунок пляжа с птицей, летающей над водой"
128,128,594686889.jpg,В Альпах весной. 1897,Исаак Ильич Левитан,"рисунок горного хребта с рекой, протекающей через него"
129,129,227633666.jpg,Весна. Большая вода. 1896,Исаак Ильич Левитан,рисунок лодки на реке с деревьями на заднем фоне
130,130,106509399.jpg,Вечер. Золотой Плёс2. 1889,Исаак Ильич Левитан,Картина с видом маяка на холме с туманным небом
131,131,945068359.jpg,К вечеру. Река Истра. 1885,Исаак Ильич Левитан,рисунок реки с небольшим водоемом посередине
132,132,913400268.jpg,Мелихово весной,Исаак Ильич Левитан,рисунок фермы с амбаром и деревьями на заднем плане
133,133,392868041.jpg,На Волге. 1888,Исаак Ильич Левитан,рисунок лодки в озере с лесами на заднем плане
134,134,502621459.jpg,На озере . 1893,Исаак Ильич Левитан,рисунок озера с лодкой и домом на берегу
135,135,620147705.jpg,Озеро. Вечер. 1898-1899,Исаак Ильич Левитан,рисунок лодки в водоеме с неба на заднем плане
136,136,827267456.jpg,Осень. 1899,Исаак Ильич Левитан,"рисунок поля с деревьями и травой, а также с неба на заднем плане"
137,137,422695922.jpg,Пейзаж с розовым закатом. Конец 1880-х,Исаак Ильич Левитан,рисование озера с деревьями и водяными лилиями на переднем плане
138,138,803839111.jpg,Последний снег. Саввинская слобода. 1884,Исаак Ильич Левитан,рисунок снежного ландшафта с амбаром и потоком
139,139,380535888.jpg,Разлив. 1887,Исаак Ильич Левитан,рисунок лодки в водоеме с деревьями на заднем фоне
140,140,154766845.jpg,Речка Истра. 1885-1886,Исаак Ильич Левитан,"рисунок реки, протекающей через зеленое поле рядом с лесом"
141,141,501687622.jpg,Серый день. Середина 1890-х,Исаак Ильич Левитан,рисунок железнодорожного пути в снегу с деревьями на заднем фоне
142,142,583837890.jpg,Татарское кладбище. Крым. 1886,Исаак Ильич Левитан,Картина горы с забором и полем цветов
143,143,990771484.jpg,Ай-Петри. 1886,Исаак Ильич Левитан,Картина горы с несколькими деревьями и небом
144,144,794281005.jpg,Ветхий дворик. Плёс. 1888-1890,Исаак Ильич Левитан,Там есть картина амбара с каменной дорожкой перед ним.
145,145,200057983.jpg,Вечер после дождя. 1879,Исаак Ильич Левитан,покраска железнодорожной станции с поездом на рельсах
146,146,269573974.jpg,Деревенька. 1880-е,Исаак Ильич Левитан,покраска сельской дороги с фермой и домом на расстоянии
147,147,565325927.jpg,Канал в Венеции. 1890,Исаак Ильич Левитан,покраска канала в маленьком городке с мостом
148,148,295419311.jpg,Море. Финляндия. 1896,Исаак Ильич Левитан,покраска маленького острова посреди большого водоема
149,149,952182006.jpg,Озеро Комо2. 1894,Исаак Ильич Левитан,Картина горного хребта с водоемом
150,150,640911865.jpg,Озеро. 1893,Исаак Ильич Левитан,рисунок реки с деревьями и холмом на заднем плане
151,151,663269042.jpg,Озеро. Весна. 1898,Исаак Ильич Левитан,рисунок реки с деревьями и небом на заднем плане
152,152,795132446.jpg,Озеро1,Исаак Ильич Левитан,рисунок картины озера с небом и облаками
153,153,891043090.jpg,Осень. Река. 1898-1899,Исаак Ильич Левитан,"рисунок пары лошадей, идущих по полю рядом с озером"
154,154,834765625.jpg,Осиновая рощица. Серый день. 1884,Исаак Ильич Левитан,рисунок леса с падшим деревом на переднем плане
155,155,189099121.jpg,Папоротники у воды. 1895,Исаак Ильич Левитан,"рисунок ручьев, протекающих через бушующий зелёный лес"
156,156,375674438.jpg,Река. 1898-1899,Исаак Ильич Левитан,"рисунок реки, протекающей через зеленое поле"
157,157,193026733.jpg,Речка. 1888,Исаак Ильич Левитан,"рисунок реки, протекающей через бушующий зелёный лес, наполненный деревьями"
158,158,786315917.jpg,Серый день. 1888,Исаак Ильич Левитан,рисунок поля с людьми на нем и неба на заднем плане
159,159,462988281.jpg,Солнечный день. 1898,Исаак Ильич Левитан,покраска дома в парке с забором и деревьями
160,160,268502807.jpg,Сумерки. Луна1. 1899,Исаак Ильич Левитан,на картине озера с деревьями и луной на небе.
161,161,975527954.jpg,Три сосны. 1886,Исаак Ильич Левитан,на картине горного хребта с деревьями.
162,162,703698730.jpg,Альпы. Снега. 1897,Исаак Ильич Левитан,"рисунок горы с рекой, протекающей по ней"
163,163,897442626.jpg,Буря. Дождь. 1899,Исаак Ильич Левитан,живопись поля с кучей деревьев и зданием
164,164,779531860.jpg,Внутри Петропавловской церкви в Плёсена Волге. 1888,Исаак Ильич Левитан,рисунок комнаты с деревянным полом и деревянной скамейкой
165,165,699935913.jpg,Лунная ночь. Деревня. 1897,Исаак Ильич Левитан,покраска деревни с покрытой крышей и скамейкой
166,166,772583007.jpg,Мостик. Саввинская слобода. 1884,Исаак Ильич Левитан,"рисунок маленького потока, протекающего через лужное зелёное поле"
167,167,960696411.jpg,Озеро Комо4. 1894,Исаак Ильич Левитан,рисование лодок в гавани со зданиями и горами на заднем плане
168,168,904803466.jpg,Осенний пейзаж1. 1890-е,Исаак Ильич Левитан,рисунок сельской дороги с амбаром и амбаром на расстоянии
169,169,187780761.jpg,Осень. Березки. 1899,Исаак Ильич Левитан,рисунок поля с деревьями и небом на заднем фоне
170,170,172921752.jpg,Папоротники в лесу. 1895,Исаак Ильич Левитан,Там есть картина леса с большим количеством зелёных растений.
171,171,603393554.jpg,Пасмурный день. 1890-е,Исаак Ильич Левитан,покраска реки с лодкой на переднем плане и небольшой деревней на расстоянии
172,172,156689453.jpg,Порубка. 1898,Исаак Ильич Левитан,рисунок ландшафта с каменной стеной и полем травы
173,173,479055786.jpg,Сакля в Алупке. 1886,Исаак Ильич Левитан,рисунок каменного здания с горой на заднем плане
174,174,171878051.jpg,У омута2. 1891,Исаак Ильич Левитан,"рисунок женщины, стоящей на причале у озера"
175,175,602322387.jpg,Улица в Ялте. 1886,Исаак Ильич Левитан,"рисунок человека, идущего по грунтовой дороге в деревне"
176,176,864154052.jpg,Аллея. Останкино. 1880-е,Исаак Ильич Левитан,рисование сада с фонтаном и деревьями на заднем фоне
177,177,269903564.jpg,Деревня. 1890-е,Исаак Ильич Левитан,рисунок поля с деревьями и домами на расстоянии
178,178,633798217.jpg,Корниш. Юг Франции. 1895,Исаак Ильич Левитан,Картина горы с маленькой деревней наверху.
179,179,520309448.jpg,Крым. В горах. 1886,Исаак Ильич Левитан,рисунок скалистого ландшафта с деревом и горой на заднем фоне
180,180,124856567.jpg,Любимцы. 1882,Исаак Ильич Левитан,черно-белый рисунок женщины в лесу
181,181,445135498.jpg,Овраг. 1898,Исаак Ильич Левитан,рисунок реки с деревьями и водоемом.
182,182,676782226.jpg,Озеро. Осень2. Конец 1890-х,Исаак Ильич Левитан,рисунок синей реки с деревьями и небом на заднем плане
183,183,152926635.jpg,Озеро. Серый день. 1895,Исаак Ильич Левитан,Картина озера с деревом на переднем плане и небо с облаками
184,184,945837402.jpg,Осенние листья. 1879,Исаак Ильич Левитан,"рисунок человека, идущего в листьях на пути"
185,185,784036254.jpg,Осень. 1891,Исаак Ильич Левитан,живопись поля с деревьями и водоемом
186,186,918481445.jpg,Осень. Охотник. 1880,Исаак Ильич Левитан,"рисунок человека, который выгуливает собаку по тропинке в лесу"
187,187,881018066.jpg,Осень1. 1896,Исаак Ильич Левитан,рисунок озера с деревьями и скамейкой на переднем плане
188,188,982119750.jpg,Пасека. 1880-е,Исаак Ильич Левитан,"рисунок поля с лошадью и человеком, идущим по траве"
189,189,869784545.jpg,Пасмурный день на Волге. 1888,Исаак Ильич Левитан,рисунок заката над водоемом с лодками
190,190,152404785.jpg,Первая зелень. Май,Исаак Ильич Левитан,рисунок дома с забором и трассой на траве
191,191,373339843.jpg,Пионы. Середина 1890-х,Исаак Ильич Левитан,Три розовых розы сидят на столе с коричневым фоном.
192,192,133920288.jpg,Портрет Софьи Петровны Кувшинниковой. 1888,Исаак Ильич Левитан,"рисунок женщины в белом платье, сидящей на стуле"
193,193,940069580.jpg,Серый день. Болото. 1898,Исаак Ильич Левитан,рисунок реки с лодкой на расстоянии и неба на заднем плане
194,194,982476806.jpg,Сумрачно. 1899,Исаак Ильич Левитан,рисование грунтовой дороги в поле с деревьями и облаками
195,195,809332275.jpg,Цветущие яблони4. 1896,Исаак Ильич Левитан,рисование поля с деревьями и скамейкой на переднем плане
196,196,853662109.jpg,Цепь гор. Монблан. 1897,Исаак Ильич Левитан,Картина горного хребта с домом на переднем плане
197,197,443185424.jpg,Юрьевец. Пасмурный день на Волге. 1890,Исаак Ильич Левитан,рисунок лодки на водоеме с неба на заднем плане
198,198,233703613.jpg,Вечер. Золотой Плёс1. 1889,Исаак Ильич Левитан,рисунок с видом на гору с озером вдалеке
199,199,538299560.jpg,Избы. После захода солнца. 1899,Исаак Ильич Левитан,рисунок заката над фермой с амбаром и забором
200,200,793814086.jpg,Итальянский пейзаж. 1890,Исаак Ильич Левитан,покраска гавани с лодками и зданиями на заднем плане
201,201,976516723.jpg,К вечеру. Роща,Исаак Ильич Левитан,на картине леса с домом вдалеке.
202,202,576257324.jpg,Монастырские ворота и ограда. 1885,Исаак Ильич Левитан,рисунок замка с часовой башней и забором
203,203,933917236.jpg,Море у финляндских берегов. 1896,Исаак Ильич Левитан,Картина парусной лодки в океане под облачным небом
204,204,542584228.jpg,На Москве-реке. 1877,Исаак Ильич Левитан,рисование реки со скалами и травой возле водоема
205,205,610699462.jpg,Озеро Комо1. 1894,Исаак Ильич Левитан,рисунок горного хребта с озером и лодкой на переднем плане
206,206,778268432.jpg,Осенний пейзаж1,Исаак Ильич Левитан,арафированный рисунок дороги с деревьями и домом на расстоянии
207,207,191928100.jpg,Осень. 1889,Исаак Ильич Левитан,рисунок поля с деревьями и травой на заднем фоне
208,208,181161499.jpg,Осень. Мельница. Плёс. 1888,Исаак Ильич Левитан,рисунок маленького деревянного дома в поле с потоком
209,209,421295166.jpg,Осень2. 1896,Исаак Ильич Левитан,рисование сцены на ферме с забором и деревьями на переднем плане
210,210,782113647.jpg,Осинник,Исаак Ильич Левитан,"живопись поля с деревьями, травой и птичьим гнездом"
211,211,908538818.jpg,Остатки былого. Сумерки. Финляндия. 1897,Исаак Ильич Левитан,живопись скалы с видом на море и замок
212,212,494876098.jpg,Пейзаж с монастырем. 1890-е,Исаак Ильич Левитан,рисунок ландшафта с городом вдалеке
213,213,405282592.jpg,Пейзаж. 1883,Исаак Ильич Левитан,покраска реки с небольшой хижиной на расстоянии
214,214,235543823.jpg,Пейзаж2,Исаак Ильич Левитан,рисунок реки с деревьями и грунтовой дорогой
215,215,735147094.jpg,Полдень. Конец 1880-х,Исаак Ильич Левитан,рисунок поля с забором и деревьями на расстоянии
216,216,636791992.jpg,Речка,Исаак Ильич Левитан,рисунок реки с деревьями и лодкой в воде
217,217,708807373.jpg,Ручей. 1899,Исаак Ильич Левитан,"рисунок ручья, протекающего через зеленое поле"
218,218,436209106.jpg,В березовой роще. 1880-е,Исаак Ильич Левитан,рисунок пути через лес с деревьями и травой
219,219,393637084.jpg,Весна. Последний снег2. 1895,Исаак Ильич Левитан,"рисунок ручья, протекающего по снегу, с деревьями на заднем фоне"
220,220,790820312.jpg,Весной в лесу. 1882,Исаак Ильич Левитан,"рисунок ручья, протекающего через лес, наполненный деревьями"
221,221,104394531.jpg,Дали,Исаак Ильич Левитан,рисунок ландшафта с фермой и дорогой
222,222,468069458.jpg,Дворик,Исаак Ильич Левитан,рисунок грунтовой дороги с забором и домом на заднем плане
223,223,675244140.jpg,Дорога в лесу. 1880-е,Исаак Ильич Левитан,рисунок грунтовой дороги в деревянном районе с деревьями
224,224,879342651.jpg,Избы1. 1899,Исаак Ильич Левитан,рисунок сцены на ферме с лошадиной каретой и амбаром
225,225,801477050.jpg,Избы2. 1899,Исаак Ильич Левитан,рисунок фермы с амбаром и деревьями на заднем плане
226,226,335189819.jpg,К вечеру. 1899,Исаак Ильич Левитан,живопись церкви и реки в сельской местности
227,227,267898559.jpg,Костры. 1880-е,Исаак Ильич Левитан,"рисунок поезда на треке с дымом, выходящего из него"
228,228,591857910.jpg,Крымский пейзаж. 1887,Исаак Ильич Левитан,Картина скалистого пляжа с водоемом.
229,229,789749145.jpg,Лесная река. Осень на реке Истра. 1885-1886,Исаак Ильич Левитан,рисование реки с деревьями и травой на заднем фоне
230,230,517068481.jpg,Летний вечер. Река. 1890-1896,Исаак Ильич Левитан,рисунок картины озера с холмом на заднем плане
231,231,147131347.jpg,Озеро1. 1898-1899,Исаак Ильич Левитан,рисунок реки с замком вдалеке
